═══════════════════════════════════════════════════════════════════════════════
  GOD EAR V3 — CALIBRATION DATA ANALYSIS
═══════════════════════════════════════════════════════════════════════════════


### METRIC: scaledKick
Category                        n     min      p25      med      p75      p90      p95      max      mean
Hi_Hats_Acoustic                 6    0.2624   0.2641   0.2645   0.2704   0.2734   0.2734   0.2737   0.2681
Hi_Hats_Sabian_B8               29    0.2365   0.3043   0.3232   0.3245   0.3260   0.3366   0.3763   0.3153
Hi_Hats_Zildjian_K_Hats         27    0.2280   0.2761   0.3111   0.3242   0.3369   0.3369   0.3565   0.3035
Kicks_Acoustic                  20    0.0347   0.0347   0.0556   0.0652   0.1173   0.1567   0.1762   0.0709
Kicks_Kes_Kick                   8    0.0555   0.0555   0.0952   0.1079   0.1110   0.1110   0.1116   0.0865
Kicks_Loose_Kick                 8    0.0555   0.0555   0.0555   0.0555   0.0576   0.0576   0.0622   0.0566
Snares_Acoustic                  4    0.2158   0.2158   0.2181   0.2314   0.2314   0.2314   0.2556   0.2302
Snares_Ludwig_A                 32    0.0555   0.0831   0.2161   0.2597   0.2702   0.2776   0.2888   0.1897
Snares_Ludwig_B                 32    0.1319   0.2156   0.2736   0.2929   0.2957   0.3000   0.3139   0.2555
Snares_Ludwig_C                 32    0.0555   0.0566   0.2345   0.2631   0.2769   0.2793   0.2884   0.1989
Snares_Piccolo_Sidestick        14    0.0562   0.1154   0.1986   0.2107   0.2218   0.2390   0.2467   0.1706
Snares_Sonor_Force_3000         40    0.0555   0.1388   0.1877   0.2263   0.2644   0.2804   0.3178   0.1850
Snares_Tama_Wood                56    0.0650   0.2291   0.2694   0.2987   0.3111   0.3223   0.3364   0.2550
Snares_Wooden_Piccolo           20    0.1437   0.1556   0.1674   0.1841   0.2000   0.2037   0.2064   0.1737
samples_Cymbals                 12    0.1490   0.2210   0.2476   0.2857   0.2884   0.2996   0.3236   0.2513
samples_bass_melodies           12    0.1802   0.2079   0.3105   0.3668   0.3706   0.4436   0.4481   0.3125
samples_kicks__techno           27    0.0210   0.0347   0.0584   0.1216   0.2342   0.2502   0.2707   0.0991
samples_kit_acustic             28    0.1933   0.2620   0.2770   0.2904   0.2971   0.2998   0.3195   0.2703
samples_pads_melodies           25    0.2172   0.2550   0.3795   0.4248   0.5005   0.5066   0.6506   0.3670

### METRIC: strobeDriveRaw
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.5995   0.6088   0.6200   0.6349   0.6480   0.6480   0.6493   0.6267
Hi_Hats_Sabian_B8               29    0.4280   0.6026   0.6479   0.6588   0.6594   0.6599   0.6599   0.6074
Hi_Hats_Zildjian_K_Hats         27    0.3619   0.6079   0.6498   0.6557   0.6581   0.6589   0.6595   0.6109
Kicks_Acoustic                  20    0.0600   0.0600   0.0632   0.1014   0.2365   0.3312   0.3600   0.1156
Kicks_Kes_Kick                   8    0.0600   0.0600   0.2721   0.3081   0.3172   0.3172   0.3188   0.2217
Kicks_Loose_Kick                 8    0.0600   0.0600   0.0600   0.0600   0.1113   0.1113   0.1358   0.0759
Snares_Acoustic                  4    0.3946   0.3946   0.4049   0.4965   0.4965   0.4965   0.5695   0.4664
Snares_Ludwig_A                 32    0.0600   0.1518   0.4298   0.5307   0.5814   0.6088   0.6270   0.3855
Snares_Ludwig_B                 32    0.1903   0.3000   0.5703   0.6109   0.6230   0.6430   0.6552   0.4941
Snares_Ludwig_C                 32    0.0600   0.0889   0.5350   0.5961   0.6173   0.6201   0.6494   0.4308
Snares_Piccolo_Sidestick        14    0.0674   0.2352   0.4366   0.4901   0.5099   0.5233   0.6341   0.3795
Snares_Sonor_Force_3000         40    0.0600   0.3000   0.3421   0.4165   0.6351   0.6470   0.6554   0.3751
Snares_Tama_Wood                56    0.1779   0.3510   0.4211   0.5222   0.6321   0.6482   0.6535   0.4450
Snares_Wooden_Piccolo           20    0.3100   0.3970   0.4220   0.4837   0.5346   0.5714   0.5820   0.4413
samples_Cymbals                 12    0.2399   0.3000   0.4280   0.5013   0.5445   0.6305   0.6598   0.4273
samples_bass_melodies           12    0.1960   0.3453   0.4280   0.4960   0.5640   0.5640   0.6320   0.4389
samples_kicks__techno           27    0.0600   0.0600   0.1280   0.3397   0.3600   0.3600   0.3600   0.1717
samples_kit_acustic             28    0.3000   0.3000   0.4895   0.6325   0.6598   0.6599   0.6600   0.4759
samples_pads_melodies           25    0.2640   0.2640   0.4000   0.4944   0.5224   0.5327   0.7000   0.4036

### METRIC: chromaFlux
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.0068   0.0068   0.0073   0.0075   0.0078   0.0078   0.0079   0.0073
Hi_Hats_Sabian_B8               29    0.0058   0.0102   0.0128   0.0170   0.0179   0.0188   0.0194   0.0134
Hi_Hats_Zildjian_K_Hats         27    0.0062   0.0132   0.0163   0.0187   0.0206   0.0214   0.0234   0.0161
Kicks_Acoustic                  20    0.0015   0.0022   0.0029   0.0032   0.0055   0.0057   0.0065   0.0033
Kicks_Kes_Kick                   8    0.0035   0.0041   0.0043   0.0066   0.0067   0.0067   0.0091   0.0055
Kicks_Loose_Kick                 8    0.0016   0.0019   0.0023   0.0042   0.0044   0.0044   0.0061   0.0031
Snares_Acoustic                  4    0.0066   0.0066   0.0067   0.0077   0.0077   0.0077   0.0080   0.0072
Snares_Ludwig_A                 32    0.0065   0.0079   0.0102   0.0119   0.0133   0.0143   0.0155   0.0102
Snares_Ludwig_B                 32    0.0078   0.0104   0.0115   0.0135   0.0147   0.0167   0.0211   0.0122
Snares_Ludwig_C                 32    0.0014   0.0055   0.0070   0.0095   0.0121   0.0132   0.0168   0.0079
Snares_Piccolo_Sidestick        14    0.0058   0.0087   0.0111   0.0128   0.0144   0.0148   0.0173   0.0112
Snares_Sonor_Force_3000         40    0.0061   0.0097   0.0126   0.0151   0.0177   0.0182   0.0200   0.0126
Snares_Tama_Wood                56    0.0048   0.0100   0.0140   0.0161   0.0185   0.0203   0.0214   0.0135
Snares_Wooden_Piccolo           20    0.0057   0.0079   0.0108   0.0120   0.0129   0.0173   0.0205   0.0108
samples_Cymbals                 12    0.0124   0.0165   0.0197   0.0231   0.0251   0.0262   0.0284   0.0200
samples_bass_melodies           12    0.0092   0.0117   0.0146   0.0183   0.0187   0.0192   0.0261   0.0156
samples_kicks__techno           27    0.0011   0.0023   0.0053   0.0070   0.0124   0.0124   0.0151   0.0055
samples_kit_acustic             28    0.0078   0.0095   0.0109   0.0135   0.0155   0.0166   0.0195   0.0118
samples_pads_melodies           25    0.0048   0.0104   0.0140   0.0168   0.0206   0.0217   0.0262   0.0144

### METRIC: flatness
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.2764   0.2989   0.3342   0.3402   0.3501   0.3501   0.3638   0.3273
Hi_Hats_Sabian_B8               29    0.2115   0.2901   0.3115   0.3197   0.3275   0.3303   0.3676   0.3021
Hi_Hats_Zildjian_K_Hats         27    0.2318   0.2801   0.3190   0.3392   0.3513   0.3520   0.3730   0.3108
Kicks_Acoustic                  20    0.0509   0.0665   0.0827   0.1091   0.1588   0.1904   0.2011   0.1021
Kicks_Kes_Kick                   8    0.0312   0.0313   0.0355   0.0426   0.0939   0.0939   0.1014   0.0513
Kicks_Loose_Kick                 8    0.0281   0.0293   0.0309   0.0509   0.0900   0.0900   0.1043   0.0497
Snares_Acoustic                  4    0.1928   0.1928   0.2073   0.2327   0.2327   0.2327   0.2336   0.2166
Snares_Ludwig_A                 32    0.0671   0.1506   0.1967   0.2176   0.2322   0.2550   0.2677   0.1821
Snares_Ludwig_B                 32    0.1634   0.1994   0.2143   0.2267   0.2383   0.2506   0.2698   0.2146
Snares_Ludwig_C                 32    0.0588   0.0856   0.1792   0.2081   0.2124   0.2195   0.2232   0.1645
Snares_Piccolo_Sidestick        14    0.1025   0.1568   0.1684   0.1709   0.1872   0.1951   0.1959   0.1640
Snares_Sonor_Force_3000         40    0.0834   0.1629   0.1838   0.2320   0.3256   0.3347   0.3944   0.2073
Snares_Tama_Wood                56    0.1070   0.2153   0.2658   0.3297   0.3892   0.4165   0.4608   0.2742
Snares_Wooden_Piccolo           20    0.1316   0.1375   0.1504   0.1589   0.1692   0.1714   0.1754   0.1516
samples_Cymbals                 12    0.1619   0.1815   0.1965   0.2723   0.4565   0.4567   0.5511   0.2724
samples_bass_melodies           12    0.0835   0.1644   0.2656   0.3525   0.3878   0.3958   0.4277   0.2773
samples_kicks__techno           27    0.0242   0.0382   0.0609   0.1021   0.4029   0.4300   0.4705   0.1286
samples_kit_acustic             28    0.2100   0.2245   0.2311   0.2390   0.2534   0.3001   0.3420   0.2389
samples_pads_melodies           25    0.0771   0.0987   0.1396   0.2065   0.3110   0.3409   0.4605   0.1738

### METRIC: whiteNoiseScore
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
Hi_Hats_Sabian_B8               29    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
Hi_Hats_Zildjian_K_Hats         27    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
Kicks_Acoustic                  20    0.0000   0.0000   0.0000   0.0914   0.5883   0.9039   1.0000   0.1780
Kicks_Kes_Kick                   8    0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0137   0.0017
Kicks_Loose_Kick                 8    0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0426   0.0053
Snares_Acoustic                  4    0.9282   0.9282   1.0000   1.0000   1.0000   1.0000   1.0000   0.9821
Snares_Ludwig_A                 32    0.0000   0.5059   0.9666   1.0000   1.0000   1.0000   1.0000   0.7244
Snares_Ludwig_B                 32    0.6343   0.9937   1.0000   1.0000   1.0000   1.0000   1.0000   0.9617
Snares_Ludwig_C                 32    0.0000   0.0000   0.7917   1.0000   1.0000   1.0000   1.0000   0.6622
Snares_Piccolo_Sidestick        14    0.0245   0.5676   0.6839   0.7093   0.8719   0.9514   0.9595   0.6398
Snares_Sonor_Force_3000         40    0.0000   0.6294   0.8378   1.0000   1.0000   1.0000   1.0000   0.7817
Snares_Tama_Wood                56    0.0702   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   0.9193
Snares_Wooden_Piccolo           20    0.3156   0.3751   0.5041   0.5894   0.6924   0.7135   0.7541   0.5156
samples_Cymbals                 12    0.6189   0.8147   0.9646   1.0000   1.0000   1.0000   1.0000   0.9073
samples_bass_melodies           12    0.0000   0.6444   1.0000   1.0000   1.0000   1.0000   1.0000   0.8044
samples_kicks__techno           27    0.0000   0.0000   0.0000   0.0213   1.0000   1.0000   1.0000   0.2600
samples_kit_acustic             28    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
samples_pads_melodies           25    0.0000   0.0000   0.3959   1.0000   1.0000   1.0000   1.0000   0.4267


═══════════════════════════════════════════════════════════════════════════════
  GROUPED ANALYSIS
═══════════════════════════════════════════════════════════════════════════════

### scaledKick — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0349   0.1056   0.1510   0.6592   0.8403   0.9608   1.2069   0.3655
SNARES      230    0.0008   0.0070   0.0260   0.0858   0.1729   0.2546   0.3613   0.0624
HIHATS       62    0.0003   0.0011   0.0022   0.0040   0.0050   0.0055   0.0144   0.0027
CYMBALS      12    0.0043   0.0065   0.0170   0.0247   0.0257   0.0303   0.0322   0.0180
MELODIC      37    0.0209   0.1046   0.4840   0.6687   0.7344   0.7988   0.8383   0.4345
FULLKIT      28    0.0022   0.0180   0.0911   0.2578   0.3219   0.4674   0.5406   0.1505

### scaledHighs — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0000   0.0003   0.0014   0.0029   0.0042   0.0051   0.0184   0.0023
SNARES      230    0.0001   0.0035   0.0116   0.0254   0.0509   0.0567   0.0793   0.0180
HIHATS       62    0.0030   0.0084   0.0285   0.0637   0.1301   0.1793   0.2088   0.0501
CYMBALS      12    0.0370   0.0463   0.0738   0.0809   0.1299   0.1497   0.1607   0.0826
MELODIC      37    0.0034   0.0049   0.0144   0.0619   0.1032   0.1040   0.1510   0.0373
FULLKIT      28    0.0002   0.0031   0.0122   0.0381   0.0759   0.1235   0.1413   0.0329

### transientDensity — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.3200   0.1608
SNARES      230    0.1500   0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.1596
HIHATS       62    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.4900   0.1856
CYMBALS      12    0.1500   0.1500   0.3200   0.3200   0.3200   0.3200   0.4900   0.2633
MELODIC      37    0.4900   0.6600   0.6600   1.0000   1.0000   1.0000   1.0000   0.7795
FULLKIT      28    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500

### spectralFluxV3 — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.3081   0.7232   0.8763   0.9485   0.9796   0.9857   0.9979   0.8092
SNARES      230    0.4607   0.9594   0.9930   0.9980   0.9997   0.9999   1.0000   0.9542
HIHATS       62    0.9825   0.9978   0.9989   0.9997   0.9999   1.0000   1.0000   0.9980
CYMBALS      12    0.8847   0.8997   0.9429   0.9998   1.0000   1.0000   1.0000   0.9578
MELODIC      37    0.3167   0.6944   0.7957   0.9012   0.9429   0.9524   0.9996   0.7566
FULLKIT      28    0.6370   0.9398   0.9908   0.9991   1.0000   1.0000   1.0000   0.9443

### strobeDrive — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0210   0.0435   0.0570   0.0986   0.1580   0.2242   0.2707   0.0832
SNARES      230    0.0555   0.1691   0.2262   0.2702   0.2957   0.3030   0.3364   0.2134
HIHATS       62    0.2280   0.2821   0.3133   0.3245   0.3366   0.3369   0.3763   0.3056
CYMBALS      12    0.1490   0.2210   0.2476   0.2857   0.2884   0.2996   0.3236   0.2513
MELODIC      37    0.1802   0.2546   0.3509   0.4243   0.4803   0.5066   0.6506   0.3493
FULLKIT      28    0.1933   0.2620   0.2770   0.2904   0.2971   0.2998   0.3195   0.2703

### strobeDriveRaw — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0600   0.0600   0.0664   0.2378   0.3473   0.3600   0.3600   0.1481
SNARES      230    0.0600   0.3283   0.4298   0.5601   0.6208   0.6413   0.6554   0.4255
HIHATS       62    0.3619   0.6079   0.6470   0.6557   0.6590   0.6594   0.6599   0.6108
CYMBALS      12    0.2399   0.3000   0.4280   0.5013   0.5445   0.6305   0.6598   0.4273
MELODIC      37    0.1960   0.2640   0.4280   0.4960   0.5640   0.6320   0.7000   0.4151
FULLKIT      28    0.3000   0.3000   0.4895   0.6325   0.6598   0.6599   0.6600   0.4759

### chromaFlux — BY GROUP
