Timestamp,Type,Severity,Message
2025-12-09T06:33:58.767Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:56.952Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:56.952Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:55.745Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:55.141Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:53.328Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:53.328Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:52.120Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:51.515Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:49.696Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:49.696Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:48.484Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:47.878Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:46.063Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:46.063Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:44.846Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:44.243Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:42.424Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:42.424Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:41.204Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:40.598Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
